command,mean,stddev,median,user,system,min,max,parameter
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_1_Linear_1.fst,1.2574178850349997,0.06653970796471834,1.242526002735,1.1588158149999999,0.07103924,1.216282814735,1.441297723735,1
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_2_Linear_1.fst,1.264758872435,0.021973471668851732,1.2650163012350002,1.1828631149999997,0.07032893999999999,1.236645308735,1.299150448735,2
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_3_Linear_1.fst,1.252098474235,0.02689353843917361,1.246256349235,1.176307515,0.06605594,1.2261090027350001,1.309577026735,3
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_4_Linear_1.fst,1.2486362049350004,0.03142995408038488,1.2379268997350001,1.1743852149999998,0.06702244,1.231674631735,1.335752703735,4
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_5_Linear_1.fst,1.2560332950350002,0.013230202671225672,1.255177686735,1.182704315,0.06660864,1.2382143247350001,1.284837350735,5
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_6_Linear_1.fst,1.2623911031350001,0.01426053686800312,1.2601599592350001,1.1885546149999997,0.06725524000000001,1.246007042735,1.294482822735,6
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_7_Linear_1.fst,1.2619350119350001,0.015476717432954352,1.255667772735,1.1897653149999996,0.06625574,1.2464756457350001,1.2978456467350001,7
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_8_Linear_1.fst,1.2896332956349998,0.015069252634878539,1.288825252735,1.212801515,0.06776694000000001,1.266512034735,1.308625363735,8
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_9_Linear_1.fst,1.2815079537350003,0.008358094731629575,1.280916465735,1.2071770149999999,0.06794594000000001,1.266901243735,1.293655872735,9
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_10_Linear_1.fst,1.2945974403350002,0.021091418378265052,1.2860739597350002,1.2174618149999996,0.06850244,1.274223549735,1.3310553007350001,10
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_11_Linear_1.fst,1.2934924311349998,0.006073559317707535,1.2907051842350001,1.219337615,0.06747623999999999,1.286044088735,1.303408645735,11
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_12_Linear_1.fst,1.3311324773350002,0.03027065851017319,1.3195546462349999,1.2454770149999996,0.07352794,1.292571915735,1.367951036735,12
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_13_Linear_1.fst,1.3659820033349999,0.047969546359242485,1.354435708735,1.277790815,0.07802074,1.311960580735,1.449638430735,13
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_14_Linear_1.fst,1.342173865735,0.02804487497935425,1.334997089235,1.259000615,0.07521284000000002,1.3087722967350002,1.386379428735,14
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_15_Linear_1.fst,1.3522737140349999,0.03481032049339424,1.350651459235,1.270412015,0.07532253999999998,1.3180962977350001,1.4415159347350002,15
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_16_Linear_1.fst,1.3407647168350003,0.015473790844039772,1.334475730235,1.2625787149999999,0.07116673999999999,1.327220460735,1.370641647735,16
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_17_Linear_1.fst,1.3952506378349996,0.061368113740403435,1.3785348262350001,1.3085758149999998,0.07776824,1.342966812735,1.527004171735,17
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_18_Linear_1.fst,1.3825966414350002,0.046366120352138565,1.361303133235,1.2989273149999998,0.07609743999999999,1.349745811735,1.493808654735,18
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_19_Linear_1.fst,1.4934537294349999,0.15637974165255245,1.4347628922350002,1.344613815,0.08447534000000001,1.359479104735,1.845086236735,19
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_20_Linear_1.fst,1.4349375165349998,0.018592228948267033,1.4378978567350003,1.342015915,0.07860884,1.4110358147350002,1.4742560367350002,20
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_21_Linear_1.fst,1.4642518186350002,0.05881856604173942,1.4447761847350002,1.360130315,0.08281664,1.424331645735,1.617430532735,21
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_22_Linear_1.fst,1.493119844535,0.03131871269511473,1.488019542235,1.389389515,0.08908074,1.4490711817350002,1.547928927735,22
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_23_Linear_1.fst,1.5080961769350003,0.06638744336544772,1.486993100235,1.3974048149999998,0.08547104,1.465232219735,1.6902386237350002,23
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_24_Linear_1.fst,1.539689413835,0.03932719506212672,1.530985535235,1.430271715,0.09313863999999998,1.493777043735,1.615864751735,24
fstar.exe --fuel 101 --ifuel 2 --z3rlimit 300 --include src bench/Random_25_Linear_1.fst,1.537853935035,0.022452334339114293,1.534152410235,1.4319348149999995,0.09083024,1.511385620735,1.5767572917350001,25
